type_id,category,denomination,year,example_description,recommended_search,example_lot_url,obverse_file,reverse_file,credit,status
TYPE_005,Federal Reserve Bank Note,,1918,Federal Reserve Bank Note Large size PMG,Heritage Auctions Federal Reserve Bank Note Large size PMG,Search Heritage for best professional photo lot,TYPE_005_obverse.jpg,TYPE_005_reverse.jpg,Heritage Auctions (professional studio photography) — to be downloaded by user,Ready for user download from Heritage
TYPE_006,Federal Reserve Bank Note,$1 ,1918,$1 Federal Reserve Bank Note Large Size,Heritage Auctions $1 Federal Reserve Bank Note Large Size,Search Heritage for best professional photo lot,TYPE_006_obverse.jpg,TYPE_006_reverse.jpg,Heritage Auctions (professional studio photography) — to be downloaded by user,Ready for user download from Heritage
TYPE_007,Federal Reserve Bank Note,$10 ,1929,$10 Federal Reserve Bank Note,Heritage Auctions $10 Federal Reserve Bank Note,Search Heritage for best professional photo lot,TYPE_007_obverse.jpg,TYPE_007_reverse.jpg,Heritage Auctions (professional studio photography) — to be downloaded by user,Ready for user download from Heritage
TYPE_008,Federal Reserve Bank Note,$2 ,1918,$2 Federal Reserve Bank Note Large size,Heritage Auctions $2 Federal Reserve Bank Note Large size,Search Heritage for best professional photo lot,TYPE_008_obverse.jpg,TYPE_008_reverse.jpg,Heritage Auctions (professional studio photography) — to be downloaded by user,Ready for user download from Heritage
TYPE_009,Federal Reserve Bank Note,$20 ,1929,$20 Federal Reserve Bank Note,Heritage Auctions $20 Federal Reserve Bank Note,Search Heritage for best professional photo lot,TYPE_009_obverse.jpg,TYPE_009_reverse.jpg,Heritage Auctions (professional studio photography) — to be downloaded by user,Ready for user download from Heritage
TYPE_010,Federal Reserve Bank Note,$5 ,1929,$5 Federal Reserve Bank Note,Heritage Auctions $5 Federal Reserve Bank Note,Search Heritage for best professional photo lot,TYPE_010_obverse.jpg,TYPE_010_reverse.jpg,Heritage Auctions (professional studio photography) — to be downloaded by user,Ready for user download from Heritage
TYPE_011,Federal Reserve Note,,1934A,Federal Reserve Note Hawaii LB Block PMG,Heritage Auctions Federal Reserve Note Hawaii LB Block PMG,Search Heritage for best professional photo lot,TYPE_011_obverse.jpg,TYPE_011_reverse.jpg,Heritage Auctions (professional studio photography) — to be downloaded by user,Ready for user download from Heritage
TYPE_012,Federal Reserve Note,,1963A,1$ Federal Reserve Star Note,Heritage Auctions 1$ Federal Reserve Star Note,Search Heritage for best professional photo lot,TYPE_012_obverse.jpg,TYPE_012_reverse.jpg,Heritage Auctions (professional studio photography) — to be downloaded by user,Ready for user download from Heritage
TYPE_013,Federal Reserve Note,,1993,1 Federal Reserve Note,Heritage Auctions 1 Federal Reserve Note,Search Heritage for best professional photo lot,TYPE_013_obverse.jpg,TYPE_013_reverse.jpg,Heritage Auctions (professional studio photography) — to be downloaded by user,Ready for user download from Heritage
TYPE_014,Federal Reserve Note,$1 ,,$1 Federal Reserve Liars Note Six in a Row,Heritage Auctions $1 Federal Reserve Liars Note Six in a Row,Search Heritage for best professional photo lot,TYPE_014_obverse.jpg,TYPE_014_reverse.jpg,Heritage Auctions (professional studio photography) — to be downloaded by user,Ready for user download from Heritage
